filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA41179	FRA41179	du Terrail, Ponson	Le testament de Grain-de-sel    	NA	NA	NA	NA	1862	NA	fra	162325	NA	NA	U	long	unspecified	T2
FRA40037	FRA40037	Erckmann, Émile	Madame Thérèse, ou les volontaires de 92    	NA	NA	viaf:31995972	NA	1863	NA	fra	60488	NA	NA	U	medium	unspecified	T2
FRA40365	FRA40365	Gauthier, Théophile 	Le Capitaine Fracasse    	NA	NA	NA	NA	1863	NA	fra	185668	NA	NA	U	long	unspecified	T2
FRA40630	FRA40630	Féval, Paul		NA	NA	NA	NA	1863	NA	fra	196393	NA	NA	U	long	unspecified	T2
FRA40025	FRA40025	Erckmann, Émile	L'ami Fritz    	NA	NA	viaf:31995972	NA	1864	NA	fra	66868	NA	NA	U	medium	unspecified	T2
FRA40030	FRA40030	Erckmann, Émile	Histoire d'un circonscrit de 1813    	NA	NA	viaf:31995972	NA	1864	NA	fra	66181	NA	NA	U	medium	unspecified	T2
FRA04101_Erckmann	FRA04101	Erckmann, Émile	Waterloo    	1822	1899	viaf:31995972	NA	1865	viaf:182215847	fra	81303	NA	NA	M	medium	high	T2
FRA40031	FRA40031	Erckmann, Émile	Histoire d'un homme du peuple    	NA	NA	viaf:312339246	NA	1865	NA	fra	79261	NA	NA	U	medium	unspecified	T2
FRA40038	FRA40038	Erckmann, Émile	Waterloo    	NA	NA	viaf:31995972	NA	1865	NA	fra	79964	NA	NA	U	medium	unspecified	T2
FRA40306	FRA40306	Aimard, Gustave	Les Bohèmes de la mer    	NA	NA	viaf:9841962	NA	1865	NA	fra	55472	NA	NA	U	medium	unspecified	T2
FRA40611	FRA40611	Féval, Paul		NA	NA	NA	NA	1865	NA	fra	161705	NA	NA	U	long	unspecified	T2
FRA40732	FRA40732	Féval, Paul H.C.	La vampire    	NA	NA	viaf:17222447	NA	1865	NA	fra	87003	NA	NA	U	medium	unspecified	T2
FRA40737	FRA40737	Barbey d'Aurevilly, Jules	Un prêtre marié    	NA	NA	viaf:49221211	NA	1865	NA	fra	135887	NA	NA	U	long	unspecified	T2
FRA41020	FRA41020	Gaboriau, Émile	L'affaire Lerouge    	NA	NA	viaf:100177491	NA	1865	NA	fra	124080	NA	NA	U	long	unspecified	T2
FRA01901_Gaboriau	FRA01901	Gaboriau, Émile	Le crime d'Orcival    	1832	1873	viaf:100177491	NA	1866	viaf:312348929	fra	127326	NA	NA	M	long	low	T2
FRA03102_Ponson	FRA03102	Ponson du Terrail, Pierre Alexis	La résurrection de Rocambole    	1829	1871	viaf:17228199	Ebooks libres et gratuits     	1866	viaf:294264533	fr	173741	NA	heterodiegetic     	M	long	low	T2
FRA03301_Rattazzi	FRA03301	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse]	La Mexicaine    	1831	1902	viaf:30341384	Bibliothèque numérique romande (BNR)     	1866	NA	fra	56517	NA	heterodiegetic     	F	medium	low	T2
FRA04003_Verne	FRA04003	Verne, Jules	Voyages et aventures du Capitaine Hatteras    	1828	1905	viaf:76323989	NA	1866	viaf:176496719	fra	144174	NA	NA	M	long	high	T2
FRA40013	FRA40013	Alexis Ponson du Terrail, Pierre	Les nuits du quartier Breda    	NA	NA	viaf:17228199	NA	1866	NA	fra	50175	NA	NA	U	medium	unspecified	T2
