corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext1	FRA40456	FRA40456	NA		NA	NA	U	viaf:46766944	1859	1859	NA	NA	NA	NA	fra	62219	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40313	FRA40313	NA		NA	NA	U	viaf:9841962	1859	1859	NA	NA	NA	NA	fra	108859	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40009	FRA40009	NA	Le chevalier Ténèbre	NA	NA	U	viaf:17222447	1860	1860	NA	NA	NA	NA	fra	36717	NA	NA	short	unspecified	T2
ELTeC-fra-ext1	FRA41160	FRA41160	NA	Les chevaliers du clair de lune	NA	NA	U	viaf:17228199	1860	1860	2009	NA	NA	NA	fra	138864	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40606	FRA40606	NA		NA	NA	U	viaf:17222447	1861	1861	NA	1925	NA	NA	fra	36145	NA	NA	short	unspecified	T2
ELTeC-fra-ext1	FRA40110	FRA40110	NA	Les cotillons célèbres, 2	NA	NA	U	viaf:100177491	1861	1861	2007	source	NA	NA	fra	79075	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40307	FRA40307	NA		NA	NA	U	viaf:9841962	1861	1861	NA	NA	NA	NA	fra	82543	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40109	FRA40109	NA	Les Cotillons célèbres, 1	NA	NA	U	viaf:100177491	1861	1861	n.av.	source	NA	NA	fra	70004	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40645	FRA40645	NA		NA	NA	U	viaf:9847974	1862	1862	NA	NA	NA	NA	fra	107880	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40629	FRA40629	NA	Jean Diable, 2: Le procès criminel	NA	NA	U	viaf:17222447	1862	1862	NA	NA	NA	NA	fra	117081	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA41179	FRA41179	NA	Le testament de Grain-de-sel	NA	NA	U	NA	1862	1862	2006	NA	NA	NA	fra	162325	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40730	FRA40730	NA	L'homme à l'oreille cassée	NA	NA	U	viaf:34452092	1862	1862	2004	NA	NA	NA	fra	56083	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40641	FRA40641	NA		NA	NA	U	viaf:9847974	1862	1862	NA	NA	NA	NA	fra	117563	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40644	FRA40644	NA		NA	NA	U	viaf:9847974	1862	1862	NA	NA	NA	NA	fra	125747	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40722	FRA40722	NA	Isis	NA	NA	U	viaf:88998504	1862	1862	2011	1862	NA	NA	fra	37446	NA	NA	short	unspecified	T2
ELTeC-fra-ext1	FRA40634	FRA40634	NA	Jean Diable	NA	NA	U	viaf:17222447	1862	1862	NA	NA	NA	NA	fra	263210	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40643	FRA40643	NA		NA	NA	U	viaf:9847974	1862	1862	NA	NA	NA	NA	fra	90218	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40036	FRA40036	NA	L'invasion ou le fou Yégof	NA	NA	U	viaf:31995972	1862	1862	2006	source	NA	NA	fra	71190	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40042	FRA40042	NA	Sallambô	NA	NA	U	viaf:9846192	1862	1862	NA	source	NA	NA	fra	103529	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40642	FRA40642	NA		NA	NA	U	viaf:9847974	1862	1862	NA	NA	NA	NA	fra	100805	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40037	FRA40037	NA	Madame Thérèse, ou les volontaires de 92	NA	NA	U	viaf:31995972	1863	1863	2007	source	NA	NA	fra	60488	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40365	FRA40365	NA	Le Capitaine Fracasse	NA	NA	U	NA	1863	1863	NA	NA	NA	NA	fra	185668	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40630	FRA40630	NA		NA	NA	U	NA	1863	1863	NA	NA	NA	NA	fra	196393	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40025	FRA40025	NA	L'ami Fritz	NA	NA	U	viaf:31995972	1864	1864	2004	source	NA	NA	fra	66868	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40030	FRA40030	NA	Histoire d'un circonscrit de 1813	NA	NA	U	viaf:31995972	1864	1864	2006	source	NA	NA	fra	66181	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40737	FRA40737	NA	Un prêtre marié	NA	NA	U	viaf:49221211	1865	1865	NA	1881	NA	NA	fra	135887	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40038	FRA40038	NA	Waterloo	NA	NA	U	viaf:31995972	1865	1865	2006	source	NA	NA	fra	79964	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40306	FRA40306	NA	Les Bohèmes de la mer	NA	NA	U	viaf:9841962	1865	1865	NA	NA	NA	NA	fra	55472	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA41020	FRA41020	NA	L'affaire Lerouge	NA	NA	U	viaf:100177491	1865	1865	2004	NA	NA	NA	fra	124080	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA04101_Erckmann	FRA04101	Erckmann, Émile	Waterloo	1822	1899	M	viaf:31995972	1865	1865	2006	source	NA	viaf:182215847	fra	81303	NA	NA	medium	high	T2
ELTeC-fra-ext1	FRA40611	FRA40611	NA		NA	NA	U	NA	1865	1865	NA	NA	NA	NA	fra	161705	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA40031	FRA40031	NA	Histoire d'un homme du peuple	NA	NA	U	viaf:312339246	1865	1865	2008	source	NA	NA	fra	79261	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40732	FRA40732	NA	La vampire	NA	NA	U	viaf:17222447	1865	1865	2003	NA	NA	NA	fra	87003	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40319	FRA40319	NA	Les Pieds fourchus	NA	NA	U	viaf:61641578	1866	1866	NA	NA	NA	NA	fra	35790	NA	NA	short	unspecified	T2
ELTeC-fra-ext1	FRA40458	FRA40458	NA		NA	NA	U	viaf:46766944	1866	1866	NA	1882	NA	NA	fra	80767	NA	NA	medium	unspecified	T2
ELTeC-fra-ext1	FRA40086	FRA40086	NA	Voyages et aventures du Capitaine Hatteras	NA	NA	U	viaf:76323989	1866	1866	2004	NA	NA	NA	fra	142545	NA	NA	long	unspecified	T2
ELTeC-fra-ext1	FRA01901_Gaboriau	FRA01901	Gaboriau, Émile	Le crime d'Orcival	1832	1873	M	viaf:100177491	1866	1866	2014	1869	NA	viaf:312348929	fra	127326	NA	NA	long	low	T2
ELTeC-fra-ext1	FRA04003_Verne	FRA04003	Verne, Jules	Voyages et aventures du Capitaine Hatteras	1828	1905	M	viaf:76323989	1866	1866	2004	NA	NA	viaf:176496719	fra	144174	NA	NA	long	high	T2
ELTeC-fra-ext1	FRA41177	FRA41177	NA	La résurrection de Rocambole, tome 2: Saint-Lazare - L'auberge maudite - La maison de fous	NA	NA	U	NA	1866	1866	NA	NA	NA	NA	fra	170981	NA	NA	long	unspecified	T2
