filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40311	FRA40311	NA	Belle rivière	NA	NA	viaf:9841962	NA	1874	NA	fra	129087	NA	NA	U	long	unspecified	T2
FRA40478	FRA40478	NA		NA	NA	viaf:79158042	NA	1874	NA	fra	43877	NA	NA	U	short	unspecified	T2
FRA40348	FRA40348	NA		NA	NA	viaf:41872490	NA	1874	NA	fra	35390	NA	NA	U	short	unspecified	T2
FRA40412	FRA40412	NA		NA	NA	viaf:49228546	NA	1874	NA	fra	67916	NA	NA	U	medium	unspecified	T2
FRA01903_Gaboriau	FRA01903	Gaboriau, Émile	L'Argent des autres	1832	1873	viaf:100177491	NA	1874	viaf:312338404	fra	173622	NA	NA	M	long	high	T2
FRA40371	FRA40371	NA		NA	NA	viaf:31987653	NA	1874	NA	fra	43332	NA	NA	U	short	unspecified	T2
FRA41021	FRA41021	NA	L'Argent des autres	NA	NA	viaf:100177491	NA	1874	NA	fra	165425	NA	NA	U	long	unspecified	T2
FRA40417	FRA40417	NA		NA	NA	viaf:49228546	NA	1874	NA	fra	84322	NA	NA	U	medium	unspecified	T2
FRA40104	FRA40104	NA	La faute de l'abbé Mouret	NA	NA	viaf:32004502	NA	1875	NA	fra	118153	NA	NA	U	long	unspecified	T2
FRA40169	FRA40169	NA	L'Île mystérieuse	NA	NA	viaf:author	NA	1875	NA	fra	201275	NA	NA	U	long	unspecified	T2
FRA40625	FRA40625	NA	La Ville-vampire	NA	NA	viaf:17222447	NA	1875	NA	fra	41836	NA	NA	U	short	unspecified	T2
FRA40017	FRA40017	NA	Jack	NA	NA	viaf:author	NA	1875	NA	fra	171531	NA	NA	U	long	unspecified	T2
FRA40088	FRA40088	NA	Le Chancellor	NA	NA	viaf:76323989	NA	1875	NA	fra	54828	NA	NA	U	medium	unspecified	T2
FRA40447	FRA40447	NA		NA	NA	viaf:46766944	NA	1875	NA	fra	22729	NA	NA	U	short	unspecified	T2
FRA40096	FRA40096	NA	Son excellence Eugène Rougon	NA	NA	viaf:32004502	NA	1876	NA	fra	132579	NA	NA	U	long	unspecified	T2
FRA40370	FRA40370	NA		NA	NA	viaf:31987653	NA	1876	NA	fra	42257	NA	NA	U	short	unspecified	T2
FRA40028	FRA40028	NA	Un chef de chantier à l'isthme de Suez	NA	NA	viaf:31995972	NA	1876	NA	fra	41440	NA	NA	U	short	unspecified	T2
FRA40018	FRA40018	NA	Le Nabab	NA	NA	viaf:4928621	NA	1877	NA	fra	140061	NA	NA	U	long	unspecified	T2
FRA40100	FRA40100	NA	L'assommoir	NA	NA	viaf:32004502	NA	1877	NA	fra	164260	NA	NA	U	long	unspecified	T2
FRA40308	FRA40308	NA	Le Chasseur de rats	NA	NA	viaf:9841962	NA	1877	NA	fra	157443	NA	NA	U	long	unspecified	T2
FRA40014	FRA40014	NA	Hector Servadac	NA	NA	viaf:76323989	NA	1877	NA	fra	117697	NA	NA	U	long	unspecified	T2
FRA40347	FRA40347	NA		NA	NA	viaf:41872490	NA	1877	NA	fra	32352	NA	NA	U	short	unspecified	T2
FRA40304	FRA40304	NA		NA	NA	viaf:9841962	NA	1877	NA	fra	98114	NA	NA	U	medium	unspecified	T2
FRA40168	FRA40168	NA	Hector Servadac	NA	NA	viaf:76323989	NA	1877	NA	fra	122924	NA	NA	U	long	unspecified	T2
FRA40303	FRA40303	NA		NA	NA	viaf:9841962	NA	1877	NA	fra	101314	NA	NA	U	long	unspecified	T2
FRA40087	FRA40087	NA	Un capitaine de quinze ans	NA	NA	viaf:76323989	NA	1878	NA	fra	120890	NA	NA	U	long	unspecified	T2
FRA40099	FRA40099	NA	Une page d'amour	NA	NA	viaf:32004502	NA	1878	NA	fra	106516	NA	NA	U	long	unspecified	T2
FRA40410	FRA40410	NA		NA	NA	viaf:49228546	NA	1878	NA	fra	114534	NA	NA	U	long	unspecified	T2
FRA40318	FRA40318	NA		NA	NA	viaf:61641578	NA	1878	NA	fra	31128	NA	NA	U	short	unspecified	T2
FRA40407	FRA40407	NA		NA	NA	viaf:49228546	NA	1878	NA	fra	104705	NA	NA	U	long	unspecified	T2
FRA40482	FRA40482	NA		NA	NA	viaf:79158042	NA	1878	NA	fra	45634	NA	NA	U	short	unspecified	T2
FRA40377	FRA40377	NA		NA	NA	viaf:31987653	NA	1878	NA	fra	54753	NA	NA	U	medium	unspecified	T2
